pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y
0,0.0000,317,505,0,0.4800,163,648,0,1.1200,115,806,0,1.8800,128,529,0,2.5200,147,664,0,3.1600,118,561,0,3.8000,367,428,0,4.4400,98,851,0,5.1200,154,501,0,5.8800,176,587
1,0.0400,403,433,1,0.5200,292,509,1,1.1600,224,596,1,1.9200,233,371,1,2.5600,249,508,1,3.2000,238,447,1,3.8400,481,318,1,4.4800,190,694,1,5.1600,267,336,1,5.9200,317,455
2,0.0800,489,400,2,0.5600,421,383,2,1.2000,334,465,2,1.9600,337,269,2,2.6000,357,400,2,3.2400,360,303,2,3.8800,598,261,2,4.5200,284,593,2,5.2000,384,273,2,5.9600,460,372
3,0.1200,579,362,3,0.6000,550,309,3,1.2400,447,362,3,2.0000,443,208,3,2.6400,469,318,3,3.2800,486,199,3,3.9200,713,224,3,4.5600,380,503,3,5.2400,504,169,3,6.0000,605,310
4,0.1600,669,448,4,0.6400,681,226,4,1.2800,565,313,4,2.0400,554,186,4,2.6800,579,293,4,3.3200,608,151,4,3.9600,832,165,4,4.6000,474,437,4,5.2800,630,95,4,6.0400,749,260
5,0.2000,762,481,5,0.6800,813,188,5,1.3200,684,240,5,2.0800,662,143,5,2.7200,692,253,5,3.3600,734,95,5,4.0000,950,203,5,4.6400,571,382,5,5.3200,760,105,5,6.0800,897,261
6,0.2400,858,537,6,0.7200,947,145,6,1.3600,802,219,6,2.1200,770,174,6,2.7600,811,250,6,3.4000,864,56,6,4.0400,1069,194,6,4.6800,668,386,6,5.3600,892,85,6,6.1200,1046,288
7,0.2800,952,660,7,0.7600,1086,158,7,1.4000,927,202,7,2.1600,882,150,7,2.8000,928,284,7,3.4400,995,68,7,4.0800,1188,261,7,4.7600,858,373,7,5.4000,1028,98,7,6.1600,1196,348
8,0.3200,1052,795,8,0.8000,1222,170,8,1.4400,1054,209,8,2.2000,992,256,8,2.8800,1050,354,8,3.4800,1126,148,8,4.1200,1309,322,8,4.8400,1050,488,8,5.4400,1166,139,8,6.2000,1344,433
9,0.3600,1152,958,9,0.8400,1361,254,9,1.4800,1182,258,9,2.2400,1104,337,9,2.9200,1179,419,9,3.5200,1259,192,9,4.1600,1428,439,9,4.8800,1146,632,9,5.4800,1311,237,9,6.2400,1494,501
10,0.4000,1153,984,10,0.8800,1505,329,10,1.5200,1313,326,10,2.2800,1217,410,10,2.9600,1310,538,10,3.5600,1394,289,10,4.2000,1549,582,10,4.9200,1241,714,10,5.5200,1462,361,10,6.2800,1645,659
,,,,11,0.9200,1644,443,11,1.5600,1447,454,11,2.3200,1328,576,11,3.0000,1441,683,11,3.6000,1529,401,11,4.2400,1672,742,11,4.9600,1333,906,11,5.5600,1614,542,11,6.3200,1646,643
,,,,12,0.9600,1784,588,12,1.6000,1583,564,12,2.3600,1440,758,12,3.0400,1574,946,12,3.6400,1666,556,12,4.2800,1794,936,12,5.0000,1416,1036,,,,,12,6.3600,1796,852
,,,,13,1.0000,1784,564,13,1.6400,1724,757,13,2.4000,1441,740,,,,,13,3.6800,1802,770,13,4.3600,1852,888,,,,,,,,,,,,
,,,,14,1.0400,1903,751,14,1.6800,1859,979,14,2.4400,1552,951,,,,,14,3.7200,1802,754,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,15,3.7600,1873,678,,,,,,,,,,,,,,,,
