pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y,pid,t,x,y
0,0.0000,317,502,0,0.4800,163,653,0,1.1200,115,772,0,1.8800,128,499,0,2.5200,147,625,0,3.1600,118,560,0,3.8000,367,430,0,4.4400,98,865,0,5.1200,154,495,0,5.8800,176,574
1,0.0400,403,442,1,0.5200,292,514,1,1.1600,224,623,1,1.9200,233,384,1,2.5600,249,503,1,3.2000,238,422,1,3.8400,481,333,1,4.4800,190,720,1,5.1600,267,368,1,5.9200,317,466
2,0.0800,489,407,2,0.5600,421,396,2,1.2000,334,494,2,1.9600,337,287,2,2.6000,357,405,2,3.2400,360,303,2,3.8800,598,258,2,4.5200,284,597,2,5.2000,384,258,2,5.9600,460,381
3,0.1200,579,402,3,0.6000,550,301,3,1.2400,447,387,3,2.0000,443,217,3,2.6400,469,331,3,3.2800,486,211,3,3.9200,713,205,3,4.5600,380,496,3,5.2400,504,172,3,6.0000,605,319
4,0.1600,669,418,4,0.6400,681,228,4,1.2800,565,299,4,2.0400,554,170,4,2.6800,579,282,4,3.3200,608,143,4,3.9600,832,179,4,4.6000,474,422,4,5.2800,630,111,4,6.0400,749,282
5,0.2000,762,462,5,0.6800,813,179,5,1.3200,684,238,5,2.0800,662,147,5,2.7200,692,256,5,3.3600,734,96,5,4.0000,950,179,5,4.6400,571,371,5,5.3200,760,77,5,6.0800,897,271
6,0.2400,858,542,6,0.7200,947,155,6,1.3600,802,201,6,2.1200,770,152,6,2.7600,811,253,6,3.4000,864,77,6,4.0400,1069,205,6,4.6800,668,345,6,5.3600,892,72,6,6.1200,1046,290
7,0.2800,952,647,7,0.7600,1086,156,7,1.4000,927,190,7,2.1600,882,181,7,2.8000,928,286,7,3.4400,995,83,7,4.0800,1188,258,7,4.7600,858,368,7,5.4000,1028,97,7,6.1600,1196,337
8,0.3200,1052,790,8,0.8000,1222,185,8,1.4400,1054,206,8,2.2000,992,237,8,2.8800,1050,343,8,3.4800,1126,119,8,4.1200,1309,336,8,4.8400,1050,496,8,5.4400,1166,151,8,6.2000,1344,411
9,0.3600,1152,967,9,0.8400,1361,240,9,1.4800,1182,253,9,2.2400,1104,320,9,2.9200,1179,437,9,3.5200,1259,186,9,4.1600,1428,443,9,4.8800,1146,601,9,5.4800,1311,238,9,6.2400,1494,514
10,0.4000,1153,968,10,0.8800,1505,326,10,1.5200,1313,329,10,2.2800,1217,433,10,2.9600,1310,563,10,3.5600,1394,282,10,4.2000,1549,581,10,4.9200,1241,731,10,5.5200,1462,364,10,6.2800,1645,650
,,,,11,0.9200,1644,438,11,1.5600,1447,440,11,2.3200,1328,573,11,3.0000,1441,723,11,3.6000,1529,406,11,4.2400,1672,749,11,4.9600,1333,890,11,5.5600,1614,530,11,6.3200,1646,650
,,,,12,0.9600,1784,581,12,1.6000,1583,583,12,2.3600,1440,738,12,3.0400,1574,926,12,3.6400,1666,567,12,4.2800,1794,948,12,5.0000,1416,1052,,,,,12,6.3600,1796,818
,,,,13,1.0000,1784,581,13,1.6400,1724,764,13,2.4000,1441,739,,,,,13,3.6800,1802,755,13,4.3600,1852,899,,,,,,,,,,,,
,,,,14,1.0400,1903,738,14,1.6800,1859,975,14,2.4400,1552,935,,,,,14,3.7200,1802,756,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,15,3.7600,1873,691,,,,,,,,,,,,,,,,
