t,x,y,theta
0.0000,719,596,-0.4644
0.0400,723,598,-0.4566
0.0800,737,603,-0.4307
0.1200,759,612,-0.3890
0.1600,789,622,-0.3334
0.2000,825,633,-0.2672
0.2400,867,644,-0.1909
0.2800,915,651,-0.1056
0.3200,965,653,-0.0176
0.3600,1013,652,0.0669
0.4000,1061,646,0.1521
0.4400,1103,636,0.2283
0.4800,1139,626,0.2943
0.5200,1168,617,0.3480
0.5600,1189,609,0.3877
0.6000,1201,603,0.4114
0.6400,1205,602,0.4186
0.6800,1201,605,0.4100
0.7200,1187,610,0.3838
0.7600,1164,618,0.3408
0.8000,1134,628,0.2849
0.8400,1096,640,0.2147
0.8800,1052,649,0.1357
0.9200,1005,653,0.0528
0.9600,955,655,-0.0351
1.0000,906,652,-0.1211
1.0400,861,644,-0.2012
1.0800,820,633,-0.2756
1.1200,786,622,-0.3384
1.1600,758,614,-0.3893
1.2000,739,605,-0.4260
1.2400,728,600,-0.4472
1.2800,726,599,-0.4511
1.3200,731,601,-0.4417
1.3600,746,607,-0.4134
1.4000,769,615,-0.3707
1.4400,800,626,-0.3129
1.4800,838,638,-0.2429
1.5200,881,646,-0.1660
1.5600,927,652,-0.0845
1.6000,976,653,0.0018
1.6400,1024,650,0.0865
1.6800,1068,644,0.1649
1.7200,1108,635,0.2373
1.7600,1141,626,0.2977
1.8000,1168,617,0.3480
1.8400,1187,609,0.3844
1.8800,1198,605,0.4051
1.9200,1200,605,0.4084
1.9600,1193,608,0.3949
2.0000,1178,614,0.3664
2.0400,1153,622,0.3201
2.0800,1121,632,0.2608
2.1200,1084,642,0.1932
2.1600,1039,651,0.1126
2.2000,992,654,0.0299
2.2400,944,654,-0.0544
2.2800,897,650,-0.1372
2.3200,853,643,-0.2153
2.3600,815,633,-0.2841
2.4000,782,623,-0.3444
2.4400,757,613,-0.3916
2.4800,740,606,-0.4237
2.5200,731,602,-0.4410
2.5600,731,601,-0.4417
2.6000,739,605,-0.4260
2.6400,756,611,-0.3945
2.6800,781,618,-0.3491
2.7200,813,629,-0.2894
2.7600,850,639,-0.2219
2.8000,893,647,-0.1449
2.8400,939,652,-0.0634
2.8800,986,653,0.0194
2.9200,1032,650,0.1005
2.9600,1076,643,0.1791
3.0000,1113,635,0.2458
3.0400,1145,626,0.3045
3.0800,1170,618,0.3507
3.1200,1187,612,0.3825
3.1600,1195,609,0.3975
3.2000,1194,609,0.3959
3.2400,1186,613,0.3802
3.2800,1168,619,0.3468
3.3200,1142,627,0.2989
3.3600,1109,636,0.2386
3.4000,1070,644,0.1683
3.4400,1027,650,0.0918
3.4800,980,653,0.0088
3.5200,933,652,-0.0739
3.5600,888,648,-0.1533
3.6000,846,640,-0.2284
3.6400,811,630,-0.2923
3.6800,780,620,-0.3495
3.7200,758,612,-0.3906
3.7600,743,606,-0.4189
3.8000,737,604,-0.4300
3.8400,738,604,-0.4284
3.8800,748,609,-0.4088
3.9200,767,615,-0.3740
3.9600,792,624,-0.3273
4.0000,825,632,-0.2676
4.0400,863,643,-0.1981
4.0800,906,650,-0.1215
4.1200,952,654,-0.0404
4.1600,998,653,0.0405
4.2000,1042,650,0.1180
4.2400,1083,642,0.1915
4.2800,1119,634,0.2565
4.3200,1148,626,0.3095
4.3600,1171,618,0.3524
4.4000,1184,613,0.3769
4.4400,1190,611,0.3880
4.4800,1188,612,0.3841
4.5200,1176,616,0.3619
4.5600,1157,623,0.3262
4.6000,1130,632,0.2761
4.6400,1096,640,0.2147
4.6800,1057,647,0.1449
4.7200,1013,652,0.0669
4.7600,967,654,-0.0141
4.8000,922,652,-0.0932
4.8400,879,646,-0.1695
4.8800,839,638,-0.2411
4.9200,805,629,-0.3029
4.9600,778,620,-0.3528
5.0000,758,612,-0.3906
5.0400,745,607,-0.4150
5.0800,741,605,-0.4229
5.1200,745,607,-0.4150
5.1600,757,612,-0.3922
5.2000,777,619,-0.3551
5.2400,804,627,-0.3056
5.2800,838,636,-0.2437
5.3200,877,644,-0.1735
5.3600,920,650,-0.0970
5.4000,965,653,-0.0176
5.4400,1009,651,0.0600
5.4800,1052,647,0.1362
5.5200,1091,639,0.2064
5.5600,1124,631,0.2664
5.6000,1151,623,0.3162
5.6400,1170,616,0.3519
5.6800,1182,612,0.3743
5.7200,1186,611,0.3815
5.7600,1181,613,0.3720
5.8000,1167,618,0.3458
5.8400,1146,625,0.3067
5.8800,1118,632,0.2557
5.9200,1083,641,0.1919
5.9600,1043,648,0.1202
6.0000,1000,652,0.0441
6.0400,955,652,-0.0353
6.0800,911,650,-0.1128
6.1200,870,644,-0.1857
6.1600,833,635,-0.2527
6.2000,802,626,-0.3095
6.2400,777,619,-0.3551
6.2800,759,613,-0.3883
6.3200,749,608,-0.4079
6.3600,747,608,-0.4111
6.4000,753,610,-0.4001
6.4400,767,615,-0.3740
6.4800,789,622,-0.3334
6.5200,818,630,-0.2805
6.5600,852,639,-0.2185
6.6000,891,647,-0.1484
6.6400,934,651,-0.0723
6.6800,977,652,0.0035
6.7200,1021,650,0.0812
6.7600,1061,645,0.1524
6.8000,1098,638,0.2189
6.8400,1129,630,0.2754
6.8800,1152,623,0.3178
6.9200,1169,618,0.3491
6.9600,1178,614,0.3664
7.0000,1179,614,0.3681
7.0400,1172,617,0.3546
7.0800,1157,622,0.3268
7.1200,1134,630,0.2839
7.1600,1104,639,0.2288
7.2000,1068,645,0.1646
7.2400,1028,651,0.0934
7.2800,985,655,0.0175
7.3200,941,654,-0.0597
7.3600,899,651,-0.1335
7.4000,860,644,-0.2029
7.4400,825,636,-0.2658
7.4800,796,627,-0.3190
7.5200,774,619,-0.3600
7.5600,759,614,-0.3877
7.6000,752,611,-0.4010
7.6400,753,611,-0.3994
7.6800,761,614,-0.3844
7.7200,778,620,-0.3528
7.7600,801,628,-0.3101
7.8000,831,635,-0.2561
7.8400,866,643,-0.1929
7.8800,906,649,-0.1217
7.9200,948,653,-0.0475
7.9600,991,653,0.0282
8.0000,1032,650,0.1005
8.0400,1071,643,0.1704
8.0800,1105,635,0.2321
8.1200,1133,628,0.2832
8.1600,1155,622,0.3234
8.2000,1169,618,0.3491
8.2400,1175,616,0.3602
8.2800,1173,616,0.3569
8.3200,1164,619,0.3402
8.3600,1146,625,0.3067
8.4000,1121,633,0.2604
8.4400,1090,640,0.2043
8.4800,1054,647,0.1397
8.5200,1013,651,0.0670
8.5600,971,653,-0.0070
8.6000,929,651,-0.0811
8.6400,889,646,-0.1521
8.6800,852,640,-0.2181
8.7200,819,633,-0.2773
8.7600,793,626,-0.3245
8.8000,773,619,-0.3616
8.8400,761,614,-0.3844
8.8800,757,613,-0.3916
8.9200,760,614,-0.3860
8.9600,770,617,-0.3678
9.0000,788,623,-0.3345
9.0400,813,629,-0.2894
9.0800,844,638,-0.2326
9.1200,881,644,-0.1666
9.1600,921,649,-0.0955
9.2000,962,652,-0.0229
9.2400,1004,651,0.0512
9.2800,1044,648,0.1219
9.3200,1080,641,0.1867
9.3600,1112,633,0.2450
9.4000,1137,628,0.2899
9.4400,1156,622,0.3251
9.4800,1167,619,0.3452
9.5200,1171,618,0.3524
9.5600,1167,619,0.3452
9.6000,1154,624,0.3206
9.6400,1135,631,0.2851
9.6800,1109,638,0.2377
9.7200,1076,646,0.1781
9.7600,1039,652,0.1124
9.8000,998,654,0.0404
9.8400,957,655,-0.0316
9.8800,916,652,-0.1037
9.9200,877,645,-0.1732
9.9600,843,637,-0.2347
10.0000,813,630,-0.2889
10.0400,789,623,-0.3329
10.0800,773,617,-0.3629
10.1200,764,613,-0.3802
10.1600,762,613,-0.3834
10.2000,767,615,-0.3740
10.2400,780,619,-0.3501
10.2800,800,626,-0.3129
10.3200,827,635,-0.2629
10.3600,859,643,-0.2050
10.4000,896,648,-0.1394
10.4400,935,653,-0.0703
10.4800,976,654,0.0018
10.5200,1017,652,0.0739
10.5600,1055,647,0.1414
10.6000,1089,641,0.2022
10.6400,1118,634,0.2548
10.6800,1141,627,0.2972
10.7200,1157,622,0.3268
10.7600,1166,619,0.3435
10.8000,1166,619,0.3435
10.8400,1160,621,0.3323
10.8800,1145,626,0.3045
10.9200,1123,633,0.2638
10.9600,1095,639,0.2133
11.0000,1061,646,0.1521
11.0400,1024,652,0.0862
11.0800,983,655,0.0140
11.1200,942,654,-0.0579
11.1600,903,650,-0.1268
11.2000,866,645,-0.1922
11.2400,835,636,-0.2488
11.2800,808,629,-0.2979
11.3200,787,622,-0.3368
11.3600,774,617,-0.3612
11.4000,767,614,-0.3746
11.4400,767,614,-0.3746
11.4800,775,617,-0.3596
11.5200,790,622,-0.3318
11.5600,812,629,-0.2911
11.6000,840,637,-0.2399
11.6400,874,644,-0.1788
11.6800,911,650,-0.1128
11.7200,950,654,-0.0439
11.7600,990,654,0.0264
11.8000,1030,651,0.0969
11.8400,1066,647,0.1605
11.8800,1097,640,0.2164
11.9200,1124,633,0.2655
11.9600,1144,627,0.3023
12.0000,1157,622,0.3268
12.0400,1163,620,0.3379
12.0800,1161,621,0.3340
12.1200,1151,624,0.3156
12.1600,1134,630,0.2839
12.2000,1111,636,0.2420
12.2400,1081,643,0.1877
12.2800,1046,649,0.1252
12.3200,1008,654,0.0579
12.3600,968,655,-0.0123
12.4000,929,653,-0.0808
12.4400,891,649,-0.1478
12.4800,857,642,-0.2088
12.5200,827,633,-0.2638
12.5600,803,627,-0.3073
12.6000,785,621,-0.3407
12.6400,774,617,-0.3612
12.6800,770,615,-0.3691
12.7200,773,616,-0.3635
12.7600,784,620,-0.3429
12.8000,801,626,-0.3112
12.8400,825,633,-0.2672
12.8800,855,641,-0.2126
12.9200,889,647,-0.1518
12.9600,926,652,-0.0862
13.0000,965,654,-0.0176
13.0400,1004,653,0.0510
13.0800,1041,649,0.1165
13.1200,1075,642,0.1776
13.1600,1105,636,0.2317
13.2000,1128,630,0.2737
13.2400,1146,626,0.3061
13.2800,1156,622,0.3251
13.3200,1159,622,0.3301
13.3600,1154,624,0.3206
13.4000,1142,627,0.2989
13.4400,1123,633,0.2638
13.4800,1097,641,0.2160
