t,x,y,theta
0.0000,513,433,-0.9176
0.0400,519,438,-0.9044
0.0800,538,457,-0.8580
0.1200,567,489,-0.7829
0.1600,613,530,-0.6758
0.2000,674,573,-0.5461
0.2400,751,612,-0.3960
0.2800,841,640,-0.2319
0.3200,938,653,-0.0611
0.3600,1035,650,0.1085
0.4000,1127,631,0.2730
0.4400,1207,601,0.4229
0.4800,1274,565,0.5564
0.5200,1327,528,0.6698
0.5600,1365,495,0.7581
0.6000,1390,470,0.8201
0.6400,1401,455,0.8526
0.6800,1403,453,0.8576
0.7200,1391,465,0.8278
0.7600,1367,489,0.7679
0.8000,1329,524,0.6769
0.8400,1277,563,0.5627
0.8800,1208,602,0.4237
0.9200,1126,633,0.2704
0.9600,1033,651,0.1049
1.0000,938,654,-0.0610
1.0400,845,641,-0.2247
1.0800,759,616,-0.3805
1.1200,687,582,-0.5187
1.1600,628,545,-0.6394
1.2000,584,509,-0.7377
1.2400,553,481,-0.8098
1.2800,536,461,-0.8551
1.3200,530,453,-0.8723
1.3600,536,458,-0.8590
1.4000,554,477,-0.8136
1.4400,584,505,-0.7424
1.4800,629,543,-0.6400
1.5200,689,582,-0.5157
1.5600,764,618,-0.3712
1.6000,851,643,-0.2138
1.6400,943,654,-0.0523
1.6800,1036,650,0.1103
1.7200,1124,633,0.2670
1.7600,1201,604,0.4111
1.8000,1265,571,0.5374
1.8400,1316,537,0.6449
1.8800,1352,506,0.7282
1.9200,1376,484,0.7854
1.9600,1387,471,0.8152
2.0000,1386,471,0.8140
2.0400,1374,483,0.7842
2.0800,1349,505,0.7255
2.1200,1310,538,0.6354
2.1600,1257,574,0.5226
2.2000,1189,609,0.3883
2.2400,1108,637,0.2382
2.2800,1020,652,0.0821
2.3200,929,652,-0.0769
2.3600,841,639,-0.2323
2.4000,760,615,-0.3795
2.4400,692,583,-0.5103
2.4800,637,549,-0.6227
2.5200,596,517,-0.7130
2.5600,568,492,-0.7780
2.6000,552,475,-0.8185
2.6400,548,470,-0.8296
2.6800,556,477,-0.8112
2.7200,576,495,-0.7644
2.7600,608,524,-0.6892
2.8000,655,559,-0.5870
2.8400,715,594,-0.4660
2.8800,789,625,-0.3262
2.9200,873,645,-0.1755
2.9600,961,653,-0.0210
3.0000,1049,647,0.1335
3.0400,1131,629,0.2807
3.0800,1203,602,0.4157
3.1200,1263,571,0.5344
3.1600,1309,540,0.6319
3.2000,1341,513,0.7056
3.2400,1363,496,0.7544
3.2800,1372,487,0.7767
3.3200,1369,489,0.7705
3.3600,1353,503,0.7331
3.4000,1325,525,0.6703
3.4400,1284,557,0.5787
3.4800,1228,591,0.4636
3.5200,1159,620,0.3323
3.5600,1080,643,0.1881
3.6000,994,653,0.0367
3.6400,907,650,-0.1155
3.6800,826,635,-0.2594
3.7200,751,611,-0.3967
3.7600,690,581,-0.5150
3.8000,640,551,-0.6164
3.8400,605,522,-0.6954
3.8800,580,502,-0.7510
3.9200,569,490,-0.7792
3.9600,568,489,-0.7817
4.0000,579,498,-0.7570
4.0400,604,517,-0.7024
4.0800,639,545,-0.6239
4.1200,687,578,-0.5222
4.1600,749,609,-0.4012
4.2000,823,634,-0.2649
4.2400,905,649,-0.1192
4.2800,990,652,0.0298
4.3200,1072,643,0.1744
