x,y,c
5.729550257303553940e-01,2.297980864940518397e-01,6.531576639411559304e-01
3.621828240813533273e-01,7.737120735640363733e-01,5.574168445566338725e-01
5.818239423332750571e-01,6.938664166542214407e-01,8.117913669205927274e-01
7.052348392672774802e-02,7.150856035239875341e-01,1.805494032226367951e-01
9.127032919173007075e-01,1.679519764015819094e-01,1.141501975839377403e-01
4.840730932486101423e-01,1.613784232853101297e-01,4.755057725497323085e-01
7.544617045252575149e-01,8.848062959058567989e-01,2.520877252109567368e-01
1.244569999301947116e-01,4.078203744424465649e-01,3.662871948108099573e-01
4.879924977543442788e-01,3.208538226028457285e-01,8.393170557336585569e-01
4.916362949190687948e-01,4.897256408163799257e-01,9.970643525535991536e-01
8.940438094774845190e-01,6.465777914872241627e-01,2.876819508683808868e-01
5.645552471384678306e-01,9.100609313422728386e-01,2.761444296957688005e-01
4.761404609512583930e-01,3.078016041938494984e-01,8.502972593304677362e-01
2.902780967827042202e-01,8.823275863808243136e-01,2.343557999232785682e-01
3.484120976082969445e-01,7.237354224763067889e-02,1.955955408542166818e-01
5.186051622243840198e-01,5.496782380941421797e-01,9.896892651755703207e-01
4.450203142745419727e-01,6.205776005129765016e-01,9.212020057218377467e-01
6.945087189229738611e-02,1.453076633756779645e-01,8.797848558901325000e-02
7.936627317749219701e-01,1.763056373575213609e-01,2.824458279625789991e-01
8.565446946557899732e-01,4.272028873846734354e-01,4.307945239157392470e-01
1.762241800987496831e-01,9.196087209288634767e-01,1.659275395243333950e-01
5.486325291851443797e-01,5.864382979109354910e-01,9.214561620712189427e-01
1.477181670218991882e-01,8.897208994401900606e-01,1.692620152041477422e-01
6.550160837358304233e-01,7.739248240516736210e-01,5.696405915849351853e-01
3.031104054551074789e-01,4.706434413997623301e-01,8.100329756537025805e-01
6.434803712227115113e-01,7.562871043269686622e-01,6.027265434526152266e-01
7.042951528581943288e-01,6.605310557928896487e-02,1.583401175409979988e-01
7.417827427258912865e-01,1.482295970891614467e-01,3.516014342809896664e-01
1.469668513603069049e-01,7.964857533944625922e-01,2.774624002392099831e-01
8.744106606238470913e-01,7.671353794926455416e-01,2.914346433830295457e-01
2.571925918053927229e-01,2.593766677697902923e-01,5.495516477465371974e-01
8.367130055856179804e-02,5.276926315391481381e-01,2.676434715145059040e-01
5.493672224523349357e-01,5.954142386300097511e-01,9.788208132409557116e-01
3.838300554761948646e-01,8.309650583984099503e-01,4.818551352361777340e-01
7.968107688191717886e-01,5.927964416048530083e-01,5.872791469629005112e-01
7.774263248578715535e-01,4.213144123463122837e-01,6.181363373628311342e-01
