x,y,c
1.918504837624996906e-01,1.325489052417782587e-01,4.176787974610313148e-01
1.830050352879724618e-01,2.151799059922870627e-01,5.466277956333623900e-01
8.925147170381695361e-01,9.320244615987731684e-01,-1.303410057903820751e-01
4.441136334788778894e-01,4.627045782126408269e-01,2.419922092779323852e-01
3.949878404996688408e-01,7.556728535072670949e-01,-9.592395171557794864e-01
7.067171378096400725e-01,6.227675078969990841e-01,-5.372528686876606452e-01
5.476937587276098363e-01,5.651718349627735671e-01,-3.610989760177409913e-01
8.925259881546159235e-01,1.806172291985447265e-01,2.808755293152987997e-01
7.522713445184529002e-01,9.014220082022854630e-01,-4.253135088081051451e-01
4.814326077120862912e-01,3.212083692632461407e-01,9.267506306676687178e-01
3.887235261327435798e-01,5.702154942267878557e-01,-4.050034893868015295e-01
9.379683904318897314e-01,6.797983501301594345e-01,-1.470359140852677549e-01
6.959842124032790123e-01,6.343098397207779238e-01,-6.188704485749210171e-01
9.060751940034569296e-01,8.965349687259664968e-01,-1.469142681794613214e-01
1.566307194953372173e-01,1.835950909280521792e-01,4.345508575784347016e-01
8.154803112717042834e-01,5.075174646022477809e-01,-2.069854123018682879e-02
6.233664955920867889e-01,4.136309516666893393e-01,5.094182096002756177e-01
1.597295105016013073e-01,4.767518565343562553e-01,6.277710438379623115e-02
5.794321999722985561e-01,1.572957735779701438e-01,7.904126336044833279e-01
6.674867285949038775e-01,1.706851488854888022e-01,7.505875842077590621e-01
6.107241729974255406e-02,3.002679912031316345e-01,1.903038500703859714e-01
4.588861656575718428e-01,3.242341433847481524e-01,8.544254872470218309e-01
7.928595600766890072e-01,4.351128923132149273e-01,2.529408399487830805e-01
3.158231228096808341e-01,5.998887923329654370e-01,-5.024101226968211709e-01
4.626932736186959438e-01,6.211662056764366557e-01,-6.621811781986334244e-01
4.480827143611038621e-01,4.206298069270131834e-01,4.240493112772470985e-01
3.217346522982423851e-01,4.179047984858273446e-01,4.021656562226031406e-01
8.765977059639986635e-01,2.458656740272657515e-01,3.441844592386716917e-01
7.531646318883642444e-01,5.794756235681073342e-01,-3.517493513463722521e-01
1.495295698964994313e-01,3.353368201855140840e-01,3.940996230406343392e-01
9.473311920538156627e-01,8.245385084962733591e-02,7.798095197170337722e-02
8.412800218769705962e-01,4.265600397411742906e-01,2.078554328183463973e-01
3.055175940776350685e-01,4.767194075811532206e-01,1.162019970047417361e-01
8.032069216948443113e-01,2.530335813837898407e-01,5.835673229266042927e-01
1.457775786842445687e-01,5.652121398099040350e-01,-1.963030466637022686e-01
9.491942574268147359e-01,5.591947103887288106e-01,-4.362210967055107913e-02
6.491162624958831673e-01,6.818019629993341546e-01,-7.983403519415905869e-01
6.351125140029172389e-01,6.331536339810890368e-01,-6.688068393819780466e-01
1.313966542857194775e-01,6.371897508689283729e-01,-2.934136168030368474e-01
8.573300590069626859e-01,3.345927366416387994e-01,3.794974438880963641e-01
7.609955288402248108e-02,7.586889997873583757e-01,-1.957485855973542799e-01
2.667452522370323265e-01,5.442299452397114656e-01,-2.056627209125299338e-01
1.787196876499714815e-01,4.382763756619010853e-01,1.952071492122366969e-01
7.490911466229965843e-01,6.134112328469513153e-01,-4.786887258225732134e-01
2.283838044916080834e-01,3.745916010052288136e-01,4.454651951787262920e-01
8.695744044177966536e-01,5.114653201460823695e-01,-5.356302201000639335e-02
6.406421353947410191e-01,7.130351196339982378e-01,-8.974701177537334207e-01
8.254643944522659094e-02,8.477625980513369131e-01,-2.109684909130899455e-01
5.488685071583041669e-02,8.789514775656723788e-01,-1.115893972983636739e-01
9.649212531295903172e-02,5.032696326647893015e-01,-5.109383817461902316e-03
5.953326598829549177e-01,5.182476032665120913e-01,-1.246201667435846844e-01
7.713336297734736391e-01,7.698833696874527455e-01,-6.350300821616567948e-01
2.646975385646496148e-01,3.330056225697811123e-01,6.555329148354210878e-01
8.144679586307655983e-01,8.036441261105616851e-01,-5.226412562346547386e-01
1.015087461379343414e-01,4.947274818656810513e-01,-2.673820744370346975e-03
7.708674682775085163e-01,1.542710519017415349e-01,5.545310564456161773e-01
8.850158871550523054e-01,1.148532323656493298e-01,2.372411280971482017e-01
7.448975591939424046e-01,8.077938899355167068e-01,-7.004689517373566821e-01
6.783087055807733856e-01,1.000111252161901138e-01,4.966382394974924730e-01
8.041821967898447054e-01,3.025502925202903093e-01,5.511725365249796615e-01
8.613616959235978476e-02,3.507170364513912397e-01,1.975577877243672453e-01
2.316038996471498357e-01,2.056950006724344027e-01,6.432761630007918230e-01
1.624313113750787685e-01,3.325040328217903074e-01,3.951656736135869541e-01
5.040778911736878420e-01,7.184233100525769800e-01,-9.535785887743675193e-01
7.206693154959600278e-01,6.321455920406369999e-02,3.224955873966410258e-01
6.170106601187588247e-01,7.944560820686177305e-01,-9.020738349382726451e-01
8.160179897857414710e-01,8.208932212171022869e-01,-4.857671453857665966e-01
1.896916931969817866e-01,3.850354158723933162e-01,3.228903264736863732e-01
7.111589827416453513e-01,1.882516091545713144e-01,7.062303227795549976e-01
2.237373417820136823e-01,5.907563671505727809e-01,-3.548381889672033718e-01
2.936828761860201809e-01,1.577053002784049029e-01,6.454214418224893945e-01
6.889142275531734416e-01,3.784274249704272508e-01,5.877159820338889729e-01
9.321843064088135566e-01,9.125862628108750707e-01,-7.043407310894711504e-02
6.003892453793625572e-01,9.459180253252733594e-01,-3.403981889586843446e-01
9.905028349216603301e-02,7.448944022191269498e-01,-3.227697689930957847e-01
6.046780729347794869e-01,3.298653589286895671e-01,8.344419547165581319e-01
8.811549642215038558e-02,6.688985442494831402e-01,-2.063562265614747315e-01
8.457311402301354031e-01,6.848657289356113731e-01,-4.518718473461218466e-01
6.886204565905585939e-01,3.990575256472847498e-01,4.965192197424408982e-01
2.058150617802528837e-01,6.267997711275433703e-01,-3.943718417110275154e-01
