t,c
0.000000000000000000e+00,1.015866944703998520e+00
1.379310344827586188e-01,8.885507787829777238e-01
2.758620689655172376e-01,7.927184916740507292e-01
4.137931034482758563e-01,7.353399213972190429e-01
5.517241379310344751e-01,6.393226208445758063e-01
6.896551724137931494e-01,5.504421999041139157e-01
8.275862068965517127e-01,4.931173480821524624e-01
9.655172413793102759e-01,4.435077526044834961e-01
1.103448275862068950e+00,4.235834746370285564e-01
1.241379310344827624e+00,3.732738242529218264e-01
1.379310344827586299e+00,3.455349362030851745e-01
1.517241379310344751e+00,2.885232758411861997e-01
1.655172413793103425e+00,2.692029921882708177e-01
1.793103448275862100e+00,2.507503668713750300e-01
1.931034482758620552e+00,2.071617215080335805e-01
2.068965517241379448e+00,2.001946163905440335e-01
2.206896551724137900e+00,1.578597456696394508e-01
2.344827586206896353e+00,1.459617443234919876e-01
2.482758620689655249e+00,1.295801520615488256e-01
2.620689655172413701e+00,9.896262776504723135e-02
2.758620689655172598e+00,1.197810772515757460e-01
2.896551724137931050e+00,8.915701262129210880e-02
3.034482758620689502e+00,8.849947433151689191e-02
3.172413793103448398e+00,8.864467374537952915e-02
3.310344827586206851e+00,7.970375408843752285e-02
3.448275862068965303e+00,7.668682976382845684e-02
3.586206896551724199e+00,5.478790130040968320e-02
3.724137931034482651e+00,4.236190924654112400e-02
3.862068965517241104e+00,4.392328322113875361e-02
4.000000000000000000e+00,7.015515299205611621e-03
