t,y
0.000000000000000000e+00,1.009141512392632833e+00
3.333333333333333287e-02,1.096689365701674079e+00
6.666666666666666574e-02,1.267402424763082625e+00
1.000000000000000056e-01,1.379216941491736348e+00
1.333333333333333315e-01,1.387691166562607048e+00
1.666666666666666574e-01,1.491490170349685895e+00
2.000000000000000111e-01,1.607835212095018562e+00
2.333333333333333370e-01,1.657068277785248123e+00
2.666666666666666630e-01,1.717718187497093263e+00
2.999999999999999889e-01,1.733408682172792759e+00
3.333333333333333148e-01,1.815270828134773362e+00
3.666666666666666408e-01,1.831222646951757627e+00
4.000000000000000222e-01,1.817980920926836275e+00
4.333333333333333481e-01,1.847039458431263048e+00
4.666666666666666741e-01,1.813580835823116688e+00
5.000000000000000000e-01,1.749221226113502725e+00
5.333333333333333259e-01,1.750618079078030576e+00
5.666666666666666519e-01,1.664455744197352205e+00
5.999999999999999778e-01,1.662353509039218080e+00
6.333333333333333037e-01,1.566391111559300997e+00
6.666666666666666297e-01,1.483343017982530654e+00
6.999999999999999556e-01,1.378572113667881682e+00
7.333333333333332815e-01,1.334898462382443363e+00
7.666666666666666075e-01,1.181919671093491164e+00
8.000000000000000444e-01,1.051150165335105857e+00
