t,x
0.000000000000000000e+00,9.823933224755885263e-01
1.611073155687073322e-01,1.070152299365254800e+00
3.222146311374146643e-01,9.979376458930987459e-01
4.833219467061219965e-01,8.355965370790521263e-01
6.444292622748293287e-01,5.879139475562584760e-01
8.055365778435366053e-01,3.665731393855790055e-01
9.666438934122439930e-01,-9.442076505614181714e-02
1.127751208980951381e+00,-4.256760235006576409e-01
1.288858524549658657e+00,-7.255389741178480678e-01
1.449965840118365934e+00,-8.683481470110095968e-01
1.611073155687073211e+00,-9.644486641131830851e-01
1.772180471255780709e+00,-1.043266799499590558e+00
1.933287786824487986e+00,-9.894553694914661746e-01
2.094395102393195263e+00,-8.010316819198939342e-01
2.255502417961902761e+00,-4.614332499974898028e-01
2.416609733530609816e+00,-1.401132734139217684e-01
2.577717049099317315e+00,1.848151444351988082e-01
2.738824364668024813e+00,4.430881339420201792e-01
2.899931680236731868e+00,7.576471401934148364e-01
3.061038995805439367e+00,9.447611688376210681e-01
3.222146311374146421e+00,1.046108076731691483e+00
3.383253626942853920e+00,1.068444416163750077e+00
3.544360942511561419e+00,9.202648651514780953e-01
3.705468258080268473e+00,7.336733699397643971e-01
3.866575573648975972e+00,4.217282959591844294e-01
4.027682889217683027e+00,1.083674717711363145e-01
4.188790204786390525e+00,-2.086279675727404637e-01
4.349897520355098024e+00,-6.224317416916453904e-01
4.511004835923805523e+00,-8.183730215186666435e-01
4.672112151492513021e+00,-9.961359702338321576e-01
4.833219467061219632e+00,-1.074680409124486369e+00
4.994326782629927131e+00,-1.019286945943469691e+00
5.155434098198634629e+00,-7.900797985819543179e-01
5.316541413767342128e+00,-6.784013156328226879e-01
5.477648729336049627e+00,-2.916087218313122009e-01
5.638756044904756237e+00,-9.408145815375107412e-02
5.799863360473463736e+00,3.044253354637686537e-01
5.960970676042171235e+00,6.273577373873568952e-01
6.122077991610878733e+00,8.828471603746671503e-01
6.283185307179586232e+00,1.035561328989642593e+00
