t,a
0.000000000000000000e+00,9.710577505515382013e-01
1.470588235294117696e-01,8.162997799890355788e-01
2.941176470588235392e-01,6.985311094481760907e-01
4.411764705882352811e-01,6.282500758263165341e-01
5.882352941176470784e-01,5.245168264607813491e-01
7.352941176470588758e-01,4.737106248416482757e-01
8.823529411764705621e-01,4.587691824526455298e-01
1.029411764705882470e+00,3.873364151591515148e-01
1.176470588235294157e+00,3.789239305775324862e-01
1.323529411764705843e+00,3.215634377004769062e-01
1.470588235294117752e+00,3.172080564215625231e-01
1.617647058823529438e+00,2.873639678567746492e-01
1.764705882352941124e+00,2.877662931858923079e-01
1.911764705882353033e+00,3.020133300056420111e-01
2.058823529411764941e+00,2.432791664708663371e-01
2.205882352941176627e+00,2.806800922138374954e-01
2.352941176470588314e+00,2.721355324774414886e-01
2.500000000000000000e+00,2.518537300526147438e-01
2.647058823529411686e+00,2.319355069544427050e-01
2.794117647058823817e+00,2.600230282408391713e-01
2.941176470588235503e+00,2.461915952097212812e-01
3.088235294117647189e+00,2.600131638374167942e-01
3.235294117647058876e+00,2.546729717062621301e-01
3.382352941176470562e+00,2.853833948565917544e-01
3.529411764705882248e+00,2.478587956817283333e-01
3.676470588235294379e+00,2.316212129275997678e-01
3.823529411764706065e+00,2.552382388674286351e-01
3.970588235294117752e+00,2.557061465737480721e-01
4.117647058823529882e+00,2.782161016654051688e-01
4.264705882352941124e+00,2.675181308542410319e-01
4.411764705882353255e+00,2.577822629447554248e-01
4.558823529411764497e+00,2.797757010067668526e-01
4.705882352941176627e+00,2.266275294720064004e-01
4.852941176470588758e+00,2.375233101756054344e-01
5.000000000000000000e+00,2.317200781428163658e-01
